phase,alpha,beta,cv_mse,cv_r2,evaluation,reuse_alpha,clipped_count,seed_index
coarse_grid,1.0,0.1,13090.030493081154,-0.19684434761844183,evaluated,,12637,
coarse_grid,1.0,0.11455149701087121,12987.962768474701,-0.1882798483627156,evaluated,,12576,
coarse_grid,1.0,0.13122045467431637,12926.575858549117,-0.19382614761411887,evaluated,,12001,
coarse_grid,1.0,0.1503149952139011,12468.582607535809,-0.1739069343899574,evaluated,,8990,
coarse_grid,1.0,0.17218807724934312,6428.432457854748,0.3932645728799099,evaluated,,4274,
coarse_grid,1.0,0.1972440201633579,5004.595291113432,0.5304819026033849,evaluated,,2461,
coarse_grid,1.0,0.22594597786155107,4644.445231123638,0.562590154694991,evaluated,,764,
coarse_grid,1.0,0.2588245000762584,4572.872250953332,0.5703045881037785,evaluated,,301,
coarse_grid,1.0,0.29648733946825756,4581.647236108802,0.5695436520833717,evaluated,,163,
coarse_grid,1.0,0.3396306858085926,4566.344888201749,0.5708573884275471,evaluated,,0,
coarse_grid,1.0,0.3890520349020314,4579.768127027056,0.5696993430954445,evaluated,,0,
coarse_grid,1.0,0.445664930131534,4583.958206415071,0.5693221344800641,evaluated,,0,
coarse_grid,1.0,0.5105158491181254,4577.021189787421,0.5699467488246939,evaluated,,0,
coarse_grid,1.0,0.5848035476425733,4575.116338888024,0.5701072729811059,evaluated,,0,
coarse_grid,1.0,0.6,4577.245579522564,0.5699292610259447,evaluated,,0,
coarse_grid,1.0,0.669901218397251,4572.918212238786,0.5703052017437605,evaluated,,0,
coarse_grid,1.0,0.7673818741681168,4568.383250402097,0.5706894510114469,evaluated,,0,
coarse_grid,1.0,0.8790474246496578,4574.498842221616,0.5701630334491959,evaluated,,0,
coarse_grid,1.0,1.0069619843716933,4577.317623906374,0.5699200349553168,evaluated,,0,
coarse_grid,1.0,1.1,4580.936628080302,0.5696097149306537,evaluated,,0,
coarse_grid,1.0,1.1534900274281497,4576.564151894321,0.5699913288619863,evaluated,,0,
coarse_grid,1.0,1.3213400942900544,4567.389184066557,0.5707762528129745,evaluated,,0,
coarse_grid,1.0,1.5136148586141145,4581.013432143584,0.5696080096178608,evaluated,,0,
coarse_grid,1.0,1.6,4577.071867816016,0.5699305401830013,evaluated,,0,
coarse_grid,1.0,1.733868479521449,4576.673091886607,0.5699714615082974,evaluated,,0,
coarse_grid,1.0,1.9861722994914508,4577.44632980914,0.5699133827387846,evaluated,,0,
coarse_grid,1.0,2.1,4576.586725323683,0.5699994373239499,evaluated,,0,
coarse_grid,1.0,2.2751901022827012,4577.542748622963,0.5699072194737715,evaluated,,0,
coarse_grid,1.0,2.6,4589.42609285825,0.5688408372629263,evaluated,,0,
coarse_grid,1.0,2.6062643220080064,4576.360811888584,0.5700157928185348,evaluated,,0,
coarse_grid,1.0,2.9855147969204046,4576.8980115857985,0.569957098936243,evaluated,,0,
coarse_grid,1.0,3.1,4581.646903894092,0.569547549028695,evaluated,,0,
coarse_grid,1.0,3.419951893353395,4584.758082272656,0.5692914029467351,evaluated,,0,
coarse_grid,1.0,3.6,4568.763927941906,0.5706859633818366,evaluated,,0,
coarse_grid,1.0,3.9176060908879475,4577.961028219671,0.5698524921430029,evaluated,,0,
coarse_grid,1.0,4.1,4577.672424398739,0.5698851906785205,evaluated,,0,
coarse_grid,1.0,4.487676424101213,4568.370022664341,0.5707672244058258,evaluated,,0,
coarse_grid,1.0,4.6,4593.485426173872,0.5682910161295194,evaluated,,0,
coarse_grid,1.0,5.1,4596.6490669500445,0.5679509570721601,evaluated,,0,
coarse_grid,1.0,5.140700524811874,4572.450516606108,0.5703428897819836,evaluated,,0,
coarse_grid,1.0,5.6,4573.671300044352,0.5702761723776025,evaluated,,0,
coarse_grid,1.0,5.8887494080177145,4601.1173149810165,0.5675300986009386,evaluated,,0,
coarse_grid,1.0,6.1,4576.707464252604,0.5699530573494697,evaluated,,0,
coarse_grid,1.0,6.6,4575.2163378939495,0.570071942578345,evaluated,,0,
coarse_grid,1.0,6.745650602103109,4600.6788486409805,0.5675177035174679,evaluated,,0,
coarse_grid,1.0,7.1,4603.928269920944,0.5671909481973678,evaluated,,0,
coarse_grid,1.0,7.6,4574.748486362678,0.5701172234724339,evaluated,,0,
