phase,alpha,beta,cv_mse,cv_r2,evaluation,reuse_alpha,clipped_count,seed_index
coarse_grid,1.0,0.1,24332.528576863715,-3.0358531958612427,evaluated,,13319,
coarse_grid,1.0,0.11455149701087121,19677.618288927093,-2.206070289097181,evaluated,,12533,
coarse_grid,1.0,0.13122045467431637,15201.542326253686,-1.379664310105948,evaluated,,10988,
coarse_grid,1.0,0.1503149952139011,12057.999415641107,-0.8706387027938134,evaluated,,7760,
coarse_grid,1.0,0.17218807724934312,7439.623527895554,-0.10862455737129839,evaluated,,3323,
coarse_grid,1.0,0.1972440201633579,5337.62569666655,0.23645928372140446,evaluated,,1565,
coarse_grid,1.0,0.22594597786155107,5230.641375500631,0.25346966062895915,evaluated,,368,
coarse_grid,1.0,0.2588245000762584,4960.416542915686,0.29259598256737673,evaluated,,53,
coarse_grid,1.0,0.29648733946825756,4959.368111819538,0.2926541086842761,evaluated,,0,
coarse_grid,1.0,0.3396306858085926,4961.91982116162,0.2921562938437263,evaluated,,0,
coarse_grid,1.0,0.3890520349020314,4964.094439300994,0.29179822816328627,evaluated,,0,
coarse_grid,1.0,0.445664930131534,4964.070667470389,0.291845419536097,evaluated,,0,
coarse_grid,1.0,0.5105158491181254,4963.73829241243,0.29194674470032167,evaluated,,0,
coarse_grid,1.0,0.5848035476425733,4959.77054984303,0.29271288086449443,evaluated,,0,
coarse_grid,1.0,0.6,4961.918600756124,0.29215639849026587,evaluated,,0,
coarse_grid,1.0,0.669901218397251,4961.858076530998,0.2921615882823002,evaluated,,0,
coarse_grid,1.0,0.7673818741681168,4962.406153073764,0.2920291980477475,evaluated,,0,
coarse_grid,1.0,0.8790474246496578,4962.119326501117,0.2920855667401378,evaluated,,0,
coarse_grid,1.0,1.0069619843716933,4963.655978166684,0.2919538029289236,evaluated,,0,
coarse_grid,1.0,1.1,4962.667454122779,0.29203856624804164,evaluated,,0,
coarse_grid,1.0,1.1534900274281497,4962.183422543467,0.29213369072325884,evaluated,,0,
coarse_grid,1.0,1.3213400942900544,4963.532976932673,0.29196434995902826,evaluated,,0,
coarse_grid,1.0,1.5136148586141145,4964.165112470896,0.2919101460105428,evaluated,,0,
coarse_grid,1.0,1.6,4964.364198261672,0.29177509704673926,evaluated,,0,
coarse_grid,1.0,1.733868479521449,4962.029939474792,0.29214685148996894,evaluated,,0,
coarse_grid,1.0,1.9861722994914508,4963.317381499921,0.2919849322254471,evaluated,,0,
